iter	MultiClass
156	0.2792489204
157	0.2780940487
158	0.2762615265
159	0.2751344054
160	0.2741311745
161	0.2732959034
162	0.2723725955
163	0.2716606651
164	0.2708747931
165	0.2700227682
166	0.2691559078
167	0.2682542586
168	0.2671863467
169	0.2661957549
170	0.2651562069
171	0.2643158101
172	0.263567212
173	0.2627538543
174	0.261990374
175	0.2604892878
176	0.2594397082
177	0.2583847802
178	0.2577070301
179	0.2569072468
180	0.2558832918
181	0.2544119542
182	0.253263718
183	0.2526308438
184	0.25165349
185	0.2505704376
186	0.2495888816
187	0.2487823214
188	0.2480612391
189	0.2474886619
190	0.2465843465
191	0.2457117132
192	0.2450267818
193	0.2442318383
194	0.2435322018
195	0.2427553619
196	0.2417067029
197	0.2403811732
198	0.2394971341
199	0.2387428966
200	0.238021603
201	0.2373943755
202	0.2364392562
203	0.2357596389
204	0.2350304288
205	0.2345464726
206	0.233821518
207	0.2330506542
208	0.232329921
209	0.2316978722
210	0.2310030263
211	0.2300377877
212	0.2292469465
213	0.2286044793
214	0.2277949014
215	0.2269921309
216	0.2263085748
217	0.225627349
218	0.2249722741
219	0.2241604243
220	0.2234093413
221	0.2228318454
222	0.2219329871
223	0.2213053783
224	0.2207602002
225	0.2200405982
226	0.2190906614
227	0.2183725106
228	0.2177299571
229	0.2170175511
230	0.2162157554
231	0.2154744682
232	0.21481349
233	0.2138673086
234	0.213395872
235	0.2125965807
236	0.2119305239
237	0.2112272707
238	0.2105767059
239	0.2101953951
240	0.2095538222
241	0.2088731563
242	0.2081811832
243	0.2078021008
244	0.2072669473
245	0.2063757253
246	0.2056424482
247	0.2047483912
248	0.2038072864
249	0.2032406003
250	0.2025729913
251	0.2017959693
252	0.2014792077
253	0.2004801324
254	0.1997888406
255	0.1990840719
256	0.1984034649
257	0.1978438676
258	0.1971525347
259	0.1965566341
260	0.1958889087
261	0.1952479859
262	0.1947318536
263	0.1940730838
264	0.1934496938
265	0.1930860543
266	0.1924654234
267	0.1919313202
268	0.1912185922
269	0.1906214699
270	0.1898216279
271	0.1890569903
272	0.1884203014
273	0.1878349056
274	0.187164214
275	0.1865420605
276	0.1860252588
277	0.1854166497
278	0.1849120323
279	0.1844020189
280	0.1840639086
281	0.1832945465
282	0.1827975687
283	0.1822166869
284	0.1816985527
285	0.180876308
286	0.1800811454
287	0.179415603
288	0.178917543
289	0.1783686907
290	0.1776595209
291	0.176930157
292	0.1764240742
293	0.1758628105
294	0.1754126847
295	0.1749030942
296	0.1743306001
297	0.1738040091
298	0.1733327627
299	0.1729723893
300	0.1723923896
301	0.1717785635
302	0.1711789808
303	0.170710818
304	0.1701005363
305	0.1695214036
306	0.1690737638
307	0.1685155401
308	0.1679950781
309	0.1674607698
310	0.1667642702
311	0.1661759746
312	0.1658138421
313	0.1651466639
314	0.1645667853
315	0.1640397681
316	0.1636937485
317	0.163164602
318	0.1624128162
319	0.1618948889
320	0.161236907
321	0.160745166
322	0.1602120959
323	0.1597990125
324	0.159330008
325	0.1587291779
326	0.1582226636
327	0.1578827785
328	0.157175426
329	0.1567108585
330	0.1562037817
331	0.1556783562
332	0.1552354598
333	0.1547625074
334	0.1542826683
335	0.15394663
336	0.153355116
337	0.1528817017
338	0.1524123135
339	0.1520222425
340	0.1514767059
341	0.1510379215
342	0.1504133236
343	0.1499549684
344	0.1496142247
345	0.1491658595
346	0.148770763
347	0.1482898547
348	0.1479114874
349	0.147516982
350	0.1470864624
351	0.1466205632
352	0.1461834808
353	0.1458593547
354	0.1455177009
355	0.145113113
356	0.1447146373
357	0.1442267423
358	0.1439661738
359	0.1435371587
360	0.1430132015
361	0.1425302742
362	0.1420900983
363	0.1417709334
364	0.1414725398
365	0.1410556677
366	0.1406982595
367	0.1402763862
368	0.1398408124
369	0.1394313338
370	0.1389479195
371	0.1385481963
372	0.1381214047
373	0.1376897327
374	0.1372488172
375	0.1368893796
376	0.1364131037
377	0.1357879857
378	0.1352918558
379	0.1349568597
380	0.1346480907
381	0.1342748241
382	0.1339106979
383	0.1334441871
384	0.1331185072
385	0.1326376024
386	0.1320786519
387	0.1316555081
388	0.1313024982
389	0.1310259152
390	0.130602206
391	0.1302267537
392	0.1298233327
393	0.1295079113
394	0.1291262948
395	0.1287630014
396	0.1283906086
397	0.1279651908
398	0.1277555077
399	0.1273297146
400	0.127054466
401	0.1266208041
402	0.1262940059
403	0.1259533037
404	0.1256271115
405	0.1250776158
406	0.1247018759
407	0.1243831765
408	0.1240053809
409	0.1236482082
410	0.1233177767
411	0.1229766374
412	0.1226902679
413	0.1223537345
414	0.122053002
415	0.1216780705
416	0.121385172
417	0.121027878
418	0.120746409
419	0.1203992211
420	0.1200473562
421	0.1197878876
422	0.119412655
423	0.1191064616
424	0.11880356
425	0.118511415
426	0.1181764558
427	0.1177537713
428	0.1174595984
429	0.1170850116
430	0.1166375502
431	0.1163547724
432	0.1160353106
433	0.115728239
434	0.1153889457
435	0.1151206242
436	0.1148646275
437	0.1145232647
438	0.1142723061
439	0.1139697083
440	0.1137141533
441	0.1134483388
442	0.1132546468
443	0.113013895
444	0.1127364605
445	0.1124679982
446	0.112250055
447	0.1119264384
448	0.1116613536
449	0.1114762677
450	0.111165926
451	0.1107717476
452	0.1105104126
453	0.1103678252
454	0.1100802172
455	0.1097664441
456	0.1094565416
457	0.1091553297
458	0.1088235753
459	0.1084646214
460	0.1081310484
461	0.1078713087
462	0.107597752
463	0.1073440367
464	0.1071031419
465	0.106749018
466	0.1065545758
467	0.1062491436
468	0.1059224067
469	0.1056031159
470	0.1051520586
471	0.1048875899
472	0.1046781265
473	0.1043953431
474	0.1041909115
475	0.1039899355
476	0.1037301296
477	0.1035117795
478	0.1033837957
479	0.1030308326
480	0.1028052566
481	0.1026237766
482	0.1023082296
483	0.1020357263
484	0.1016566805
485	0.1014192952
486	0.1012103119
487	0.10097362
488	0.1006877233
489	0.1005688541
490	0.1003359455
491	0.1001238703
492	0.09984270878
493	0.09960214648
494	0.09929853355
495	0.0990330049
496	0.09876755665
497	0.0984947145
498	0.09823525267
499	0.0980128593
500	0.0977877568
501	0.09759954686
502	0.09738094081
503	0.09718784275
504	0.0969553818
505	0.09675580221
506	0.09654989424
507	0.09631521495
508	0.09600884883
509	0.09575030793
510	0.09557544458
511	0.09536475954
512	0.09519363357
513	0.09494817185
514	0.09473569583
515	0.09446241827
516	0.09430755576
517	0.09395627725
518	0.09380217197
519	0.09354683813
520	0.09331081866
521	0.09310381652
522	0.09291481686
523	0.09277419843
524	0.09256093812
525	0.09238333445
526	0.09210271233
527	0.09191237622
528	0.09168172773
529	0.09146332054
530	0.0911750244
531	0.0909931199
532	0.09076583135
533	0.09054711464
534	0.09033364642
535	0.09012311136
536	0.08994726769
537	0.08981407357
538	0.08965975846
539	0.08951623576
540	0.08928545065
541	0.08920086368
542	0.08894275042
543	0.08868544367
544	0.08846739868
545	0.08823195758
546	0.08805949217
547	0.08783527116
548	0.08758399705
549	0.08737938665
550	0.08715805105
551	0.08697480023
552	0.08672868005
553	0.08659141014
554	0.08643906284
555	0.0862324129
556	0.08604201204
557	0.08590483362
558	0.08575284868
559	0.08559717209
560	0.08540359353
561	0.0852781399
562	0.08510452665
563	0.08490014531
564	0.0847770213
565	0.08463264851
566	0.08444685663
567	0.08423081235
568	0.08408285487
569	0.08396407754
570	0.08379732901
571	0.08366052139
572	0.08339179886
573	0.0831474772
574	0.08291836303
575	0.0828012854
576	0.08259138031
577	0.08239866564
578	0.08217315443
579	0.0819795518
580	0.08175827595
581	0.08157417266
582	0.08137334219
583	0.08108195439
584	0.08082870135
585	0.08065950806
586	0.08049449721
587	0.08035738788
588	0.08021966914
589	0.08007957647
590	0.07992117731
591	0.0797996797
592	0.07958441074
593	0.07938700628
594	0.07914585335
595	0.07893367199
596	0.07876253688
597	0.07855404581
598	0.07843972568
599	0.07831393502
600	0.07813546776
601	0.07796364294
602	0.07778391735
603	0.07764208098
604	0.07749750216
605	0.07733050853
606	0.07714894514
607	0.07694594669
608	0.07682351915
609	0.07664381322
610	0.07630060275
611	0.07611961687
612	0.07593222075
613	0.07575483201
614	0.07558773222
615	0.07545258723
616	0.07528631391
617	0.07510768167
618	0.07491234819
619	0.07469228021
620	0.07457167712
621	0.07443464268
622	0.07424213503
623	0.0740968948
624	0.07395892614
625	0.07384603826
626	0.07371187886
627	0.07356852868
628	0.07346016773
629	0.07333163355
630	0.07313820986
631	0.07302731909
632	0.07286692796
633	0.07273572608
634	0.07260649779
635	0.07247794215
636	0.07235057274
637	0.072255836
638	0.07213240594
639	0.07203081508
640	0.07188821036
641	0.07175787147
642	0.07165697318
643	0.07151875704
644	0.07138246028
645	0.0712361243
646	0.07111845425
647	0.07098996808
648	0.07084999603
649	0.07075883198
650	0.07068326361
651	0.07058346681
652	0.07043799717
653	0.07030714753
654	0.07018224905
655	0.07003208336
656	0.06987585203
657	0.06975629127
658	0.06963829977
659	0.06936204962
660	0.06913195872
661	0.06900557728
662	0.06885807405
663	0.06872943445
664	0.06861735795
665	0.06850186198
666	0.06836321327
667	0.0682280544
668	0.06813028528
669	0.0680219274
670	0.0678756269
671	0.06767574054
672	0.06755971514
673	0.06742052878
674	0.06732739486
675	0.06720861154
676	0.06706208994
677	0.06694858407
678	0.06690022891
679	0.0667912572
680	0.06668031467
681	0.06653865095
682	0.06643010696
683	0.06622613916
684	0.06610003984
685	0.06595000244
686	0.06581925606
687	0.06568311777
688	0.06558086206
689	0.06545027827
690	0.0652927029
691	0.06516447335
692	0.06501986228
693	0.06490519364
694	0.06478637408
695	0.06459706537
696	0.06447737208
697	0.06437435201
698	0.0642412919
699	0.06415501292
700	0.0640142357
701	0.063912745
702	0.06376857498
703	0.06364797993
704	0.06356132725
705	0.06343123254
706	0.06333320327
707	0.06320643505
708	0.06309750392
709	0.06293638864
710	0.06281037892
711	0.06271526524
712	0.06261153606
713	0.06250478297
714	0.06241561074
715	0.06233446783
716	0.06222064232
717	0.06211745132
718	0.06196692639
719	0.06189947288
720	0.0618245769
721	0.06168126747
722	0.06156953762
723	0.06144431895
724	0.06134625327
725	0.06124798771
726	0.06113680441
727	0.06099375914
728	0.06089687273
729	0.06081280032
730	0.06069236444
731	0.06056740031
732	0.06050300509
733	0.06040889577
734	0.06028737652
735	0.0601962631
736	0.06010216231
737	0.05998441154
738	0.05989611305
739	0.05976362658
740	0.05968794581
741	0.05959438021
742	0.05951668835
743	0.05941095959
744	0.05929752672
745	0.05917293253
746	0.05906603737
747	0.05890153741
748	0.0587999215
749	0.05871758833
750	0.0586099515
751	0.05851662421
752	0.05841734028
753	0.05831187329
754	0.05822317956
755	0.05810859315
756	0.05799489116
757	0.0578999762
758	0.05781368438
759	0.05774353777
760	0.05767862641
761	0.05759271366
762	0.05748046004
763	0.05734242436
764	0.05722834061
765	0.05710001583
766	0.05702341665
767	0.05691663472
768	0.05681440506
769	0.05672582
770	0.0566449656
771	0.05654552532
772	0.05645287944
773	0.05633191666
774	0.05624592612
775	0.05616595157
776	0.05605863492
777	0.05595682823
778	0.05587035487
779	0.05576629372
780	0.05569194017
781	0.05559210009
782	0.0555341443
783	0.05542961046
784	0.05535458165
785	0.05526709609
786	0.05521638199
787	0.05512047509
788	0.05504562489
789	0.05495036998
790	0.05483561295
791	0.05472568596
792	0.0546725087
793	0.05456866752
794	0.05447514031
795	0.05435835334
796	0.05426610656
797	0.05415474758
798	0.0540338432
799	0.05392309729
800	0.05384751256
801	0.0537511561
802	0.05364196066
803	0.0535204759
804	0.05345163322
805	0.05337256615
806	0.05327756334
807	0.05318375796
808	0.05308733693
809	0.05302729386
810	0.05290383968
811	0.05284397661
812	0.05277213923
813	0.05270394779
814	0.05262553864
815	0.05253364126
816	0.05245611983
817	0.05240460249
818	0.05233483666
819	0.05223095479
820	0.05215550327
821	0.05206118564
822	0.05191094306
823	0.05185009996
824	0.05175723631
825	0.051687365
826	0.05156472069
827	0.05148787046
828	0.0514158281
829	0.05134178456
830	0.05123339705
831	0.05112256324
832	0.0510402568
833	0.05096958569
834	0.05089162066
835	0.05082509719
836	0.05076844115
837	0.05068943342
838	0.05060808519
839	0.05052669927
840	0.05045145689
841	0.05033349085
842	0.05026651747
843	0.05016041504
844	0.05007032033
845	0.04999400093
846	0.0499193779
847	0.04985696226
848	0.04977862977
849	0.04966262096
850	0.04958669862
851	0.04952570008
852	0.04945538047
853	0.04938370608
854	0.04924465426
855	0.04919796395
856	0.04909450644
857	0.04901707341
858	0.0489438784
859	0.0488875158
860	0.04880550684
861	0.04873040069
862	0.04864999619
863	0.04860654152
864	0.04853107511
865	0.04843958529
866	0.0483779567
867	0.04826020522
868	0.04817497431
869	0.04807684361
870	0.04800351424
871	0.04792769694
872	0.04788793864
873	0.04779224372
874	0.04772135115
875	0.0476320508
876	0.04755337694
877	0.04747537726
878	0.04741373732
879	0.04730275286
880	0.04724801036
881	0.04717714016
882	0.04708606776
883	0.04702224547
884	0.04695186703
885	0.04688428757
886	0.04683710246
887	0.04677725121
888	0.04669641793
889	0.04662319611
890	0.04652623581
891	0.04642881951
892	0.04636026807
893	0.04629337782
894	0.04622276211
895	0.04611500665
896	0.04606267477
897	0.04601901419
898	0.04598826422
899	0.04592944037
900	0.04586610959
901	0.04578874677
902	0.04572220927
903	0.04567879834
904	0.04561631359
905	0.04552736315
906	0.04545809948
907	0.04542062323
908	0.04537039502
909	0.04530522685
910	0.04517858467
911	0.04510875721
912	0.04505826995
913	0.0449718636
914	0.0448700057
915	0.04478565671
916	0.04470552158
917	0.0446517054
918	0.04461024893
919	0.04455295625
920	0.04448825916
921	0.04443665046
922	0.0443782507
923	0.04428941215
924	0.04420801689
925	0.04413457646
926	0.04406884169
927	0.04399500422
928	0.04393216171
929	0.043874802
930	0.04382986618
931	0.04375512978
932	0.04369970807
933	0.04365224228
934	0.04358856062
935	0.04352737552
936	0.04346286621
937	0.04337707853
938	0.04330918769
939	0.04325036808
940	0.04319777593
941	0.04314315945
942	0.04307297279
